2026-01-02 at 15:42:40 | INFO | Бот запущен...
2026-01-02 at 15:42:40 | INFO | Бот успешно запущен.
2026-01-02 at 15:42:40 | SUCCESS | Вебхук установлен: https://gh01c6ls-8000.euw.devtunnels.ms/webhook
2026-01-02 at 15:42:49 | INFO | Получен запрос с вебхука.
2026-01-02 at 15:42:49 | INFO | Запись User с ID 5180149646 найдена.
2026-01-02 at 15:42:49 | INFO | Обновление успешно обработано.
2026-01-02 at 15:43:24 | INFO | Получен запрос с вебхука.
2026-01-02 at 15:43:28 | INFO | Обновление успешно обработано.
2026-01-02 at 15:44:11 | INFO | Получен запрос с вебхука.
2026-01-02 at 15:44:11 | ERROR | Неожиданная ошибка: 'ManagerImpl' object has no attribute 'current_state'
2026-01-02 at 15:44:11 | INFO | Получен запрос с вебхука.
2026-01-02 at 15:44:11 | ERROR | Неожиданная ошибка: 'ManagerImpl' object has no attribute 'current_state'
2026-01-02 at 15:44:13 | INFO | Получен запрос с вебхука.
2026-01-02 at 15:44:13 | ERROR | Неожиданная ошибка: 'ManagerImpl' object has no attribute 'current_state'
2026-01-02 at 15:44:18 | INFO | Получен запрос с вебхука.
2026-01-02 at 15:44:18 | ERROR | Неожиданная ошибка: 'ManagerImpl' object has no attribute 'current_state'
2026-01-02 at 15:44:27 | INFO | Получен запрос с вебхука.
2026-01-02 at 15:44:27 | ERROR | Неожиданная ошибка: 'ManagerImpl' object has no attribute 'current_state'
2026-01-02 at 15:44:43 | INFO | Получен запрос с вебхука.
2026-01-02 at 15:44:43 | ERROR | Неожиданная ошибка: 'ManagerImpl' object has no attribute 'current_state'
2026-01-02 at 15:44:55 | INFO | Бот остановлен...
2026-01-02 at 15:44:56 | ERROR | Бот остановлен!
2026-01-02 at 15:45:09 | INFO | Бот запущен...
2026-01-02 at 15:45:09 | INFO | Бот успешно запущен.
2026-01-02 at 15:45:09 | SUCCESS | Вебхук установлен: https://gh01c6ls-8000.euw.devtunnels.ms/webhook
2026-01-02 at 15:45:13 | INFO | Получен запрос с вебхука.
2026-01-02 at 15:45:13 | INFO | Запись User с ID 5180149646 найдена.
2026-01-02 at 15:45:13 | INFO | Обновление успешно обработано.
2026-01-02 at 15:45:17 | INFO | Получен запрос с вебхука.
2026-01-02 at 15:45:17 | INFO | Обновление успешно обработано.
2026-01-02 at 15:45:20 | INFO | Получен запрос с вебхука.
2026-01-02 at 15:45:20 | ERROR | Неожиданная ошибка: 'ManagerImpl' object has no attribute 'current_state'
2026-01-02 at 15:45:20 | INFO | Получен запрос с вебхука.
2026-01-02 at 15:45:20 | ERROR | Неожиданная ошибка: 'ManagerImpl' object has no attribute 'current_state'
2026-01-02 at 15:45:23 | INFO | Получен запрос с вебхука.
2026-01-02 at 15:45:23 | ERROR | Неожиданная ошибка: 'ManagerImpl' object has no attribute 'current_state'
2026-01-02 at 15:45:27 | INFO | Получен запрос с вебхука.
2026-01-02 at 15:45:27 | ERROR | Неожиданная ошибка: 'ManagerImpl' object has no attribute 'current_state'
2026-01-02 at 15:45:35 | INFO | Получен запрос с вебхука.
2026-01-02 at 15:45:35 | ERROR | Неожиданная ошибка: 'ManagerImpl' object has no attribute 'current_state'
2026-01-02 at 15:45:52 | INFO | Получен запрос с вебхука.
2026-01-02 at 15:45:52 | ERROR | Неожиданная ошибка: 'ManagerImpl' object has no attribute 'current_state'
2026-01-02 at 15:46:24 | INFO | Получен запрос с вебхука.
2026-01-02 at 15:46:24 | ERROR | Неожиданная ошибка: 'ManagerImpl' object has no attribute 'current_state'
2026-01-02 at 15:47:29 | INFO | Получен запрос с вебхука.
2026-01-02 at 15:47:29 | ERROR | Неожиданная ошибка: 'ManagerImpl' object has no attribute 'current_state'
2026-01-02 at 15:54:38 | INFO | Бот остановлен...
2026-01-02 at 15:54:38 | ERROR | Бот остановлен!
2026-01-02 at 15:54:49 | INFO | Бот запущен...
2026-01-02 at 15:54:50 | INFO | Бот успешно запущен.
2026-01-02 at 15:54:50 | SUCCESS | Вебхук установлен: https://gh01c6ls-8000.euw.devtunnels.ms/webhook
2026-01-02 at 15:55:02 | INFO | Получен запрос с вебхука.
2026-01-02 at 15:55:02 | INFO | Запись User с ID 5180149646 найдена.
2026-01-02 at 15:55:02 | INFO | Обновление успешно обработано.
2026-01-02 at 15:55:13 | INFO | Получен запрос с вебхука.
2026-01-02 at 15:55:14 | INFO | Обновление успешно обработано.
2026-01-02 at 15:55:30 | INFO | Получен запрос с вебхука.
2026-01-02 at 15:55:30 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 6}
2026-01-02 at 15:55:30 | INFO | Найдено 2 записей.
2026-01-02 at 15:55:32 | INFO | Обновление успешно обработано.
2026-01-02 at 15:55:54 | INFO | Получен запрос с вебхука.
2026-01-02 at 15:55:56 | INFO | Обновление успешно обработано.
2026-01-02 at 15:56:00 | INFO | Получен запрос с вебхука.
2026-01-02 at 15:56:00 | INFO | Обновление успешно обработано.
2026-01-02 at 15:56:05 | INFO | Получен запрос с вебхука.
2026-01-02 at 15:56:05 | INFO | Обновление успешно обработано.
2026-01-02 at 15:56:09 | INFO | Получен запрос с вебхука.
2026-01-02 at 15:56:09 | INFO | Обновление успешно обработано.
2026-01-02 at 16:24:50 | INFO | Нет бронирований для обновления статуса.
